"27,539","39,220","40,523","54,713","34,142","29,309","35,484","34,381","38,844","29,309","60,118","42,017","38,637"
"9,213","17,464","7,638","7,186","4,953","10,660","8,216","4,392","10,564","10,660","6,195","2,666","1,192"
"58,248","113,468","113,573","158,019","96,495","104,245","103,760","112,772","133,769","104,245","139,702","135,875","135,138"
"1,735","8,191","8,173","8,108","6,875","8,344","10,377","7,957","10,347","8,344","8,801","11,131","7,667"
"2,062,914","2,129,826","2,206,728","2,274,086","2,369,009","2,401,289","2,388,759","2,411,588","2,337,739","2,401,289","2,426,595","2,563,621","2,608,618"
"1,077,659","1,112,241","1,117,709","1,177,465","1,091,333","1,087,204","911,252","687,197","757,908","1,087,204","834,928","952,996","1,232,928"
"18,787","40,199","32,229","30,488","40,799","37,457","23,263","23,682","21,541","37,457","48,076","38,326","17,573"
"2,352","3,202","2,704","4,168","5,166","5,603","5,285","5,404","5,289","5,603","5,834","5,782","6,284"
"1,606,765","950,713","1,906,256","2,316,976","2,014,067","2,479,251","2,523,366","2,641,067","2,912,292","2,479,251","3,499,475","2,660,271","2,713,145"
"34,343","35,904","27,097","35,019","20,590","26,423","34,302","35,786","34,146","26,423","31,224","38,615","33,727"
"19,179","45,521","49,151","49,152","50,880","50,825","53,967","54,664","73,357","50,825","105,494","100,559","121,060"
"3,976","2,920","2,752","2,908","2,346","2,371","3,421","2,998","4,504","2,371","3,592","2,781","2,890"
"1,039,309","1,173,203","1,167,620","1,123,195","1,245,497","1,185,370","1,091,258","1,107,135","1,213,645","1,185,370","1,354,250","1,225,327","1,249,253"
"811,789","899,058","921,390","1,063,378","1,410,374","1,370,588","1,218,446","1,017,846","1,082,493","1,370,588","1,294,756","1,317,942","1,141,763"
"20,600","23,196","25,287","28,564","26,625","27,065","28,685","22,993","31,117","27,065","30,846","26,700","22,691"
"35,319","38,138","45,455","43,719","98,783","47,981","57,487","55,916","61,967","47,981","64,082","68,103","54,599"
"8,078","7,932","10,478","8,792","9,843","11,420","10,050","7,971","8,497","11,420","13,628","7,501","9,118"
"79,066","111,087","135,087","142,085","214,719","183,304","184,949","177,684","174,844","183,304","189,501","164,086","159,280"
"128,111","128,982","139,846","175,120","169,492","138,604","103,014","120,241","125,619","138,604","177,213","166,293","148,886"
"2,831","2,948","3,887","5,008","3,971","4,749","3,745","3,654","5,841","4,749","2,643","3,310","1,485"
"167,094","314,924","244,268","283,613","401,228","299,369","148,148","160,672","99,304","299,369","112,697","83,504","91,360"
"91,347","168,398","99,719","88,179","106,189","109,995","101,039","86,775","96,790","109,995","103,997","99,379","125,530"
"27,274","29,939","43,085","43,325","47,479","48,999","51,924","38,516","50,317","48,999","53,904","47,669","56,169"
"17,520","18,370","28,729","29,444","28,866","29,453","40,779","34,199","25,287","29,453","36,628","38,356","25,373"
"3,035","4,095","5,672","5,257","5,349","6,069","7,528","3,647","31,472","6,069","31,946","3,089","2,219"
